dir,key,clue
size,0,8
shape,0,acdddacdddfffddfefacdfedfabcedefabcdfffddddfabceeffddddefacfffff
letters,0,2476851387652431738261544631572838271645521348671548327661547382
prods,0,8__42_30_16_5__3_224_21____4_120____16__30___32__18____42___48___21____420_30_10_4__192_______32_21_6_56___5______
size,1,8
shape,1,abcabcdddabbbcffeddacacdefeddddffdefeffddfedfacfedefabcdfffacacf
letters,1,1672485334852761712486358536127462435187581763422358741647613528
prods,1,42___64___30_3_1008_2240________5_720_32__18__20____18_30_2_56___16______14_40___56__12____21___28___48____3__10__
size,2,8
shape,2,dabcabcdeddacacefffddddedacefffffddedacddeffeddfefacffedfabcacff
letters,2,8745126334267581483127567614832561735842526741381582367423586417
prods,2,96_140___12___90__32_6_42__40______84_16_21_10__42_6________10_42__60_32__16_10_____6_21____16_____28__120___24___
size,3,8
shape,3,abcabcddddddddfffefeffdddfdfacfeedeabbcefefddacfdedffdddfffacfff
letters,3,2786143531682754483561725374821614235867651743288251764376423581
prods,3,112___24___15_20_12_24_18_160_12_7_________7_672_30__14__16_____240__720________7_28_6___56__20___30_32_3____6____
